,ANXA3,G0S2,IL1R2,LOC105372578,MCEMP1,MMP9,OSM,PFKFB3,SEMA6B,SOCS3
Raw_12_Orkambi_007_V2,9895,996,23337,1182,1300,39345,2516,12968,574,19942
Raw_15_Orkambi_009_V2,54570,4963,74502,6401,5010,155221,10855,35596,773,75476
Raw_18_Orkambi_010_V2,216749,5969,102578,46103,26959,158163,33472,243593,3693,370428
Raw_22_Orkambi_012_V2,28204,2494,40146,2062,3083,63793,5087,22587,451,34312
Raw_25_Orkambi_013_V2,31907,908,79609,3257,4659,59351,5390,25055,671,63952
Raw_28_Orkambi_014_V2,324844,3369,133071,33070,19720,103555,23090,139295,3185,295862
Raw_2_Orkambi_001_V2,148511,2483,75662,14987,11075,102582,6197,73266,285,62960
Raw_6_Orkambi_004_V2,159789,1111,659918,16702,13962,240666,13755,123694,956,133467
Raw_9_Orkambi_006_V2,93737,3003,60289,15594,6848,63172,11077,54882,528,87129
Raw_Orkambi_015_V2,191141,9984,64797,23758,18381,216385,17229,101612,1356,116257
Raw_Orkambi_016_V2,14024,1500,22658,1222,1278,15914,3927,17137,314,43130
Raw_Orkambi_017_V2,53873,3964,77943,9350,5220,83676,9466,43217,792,86302
Raw_Orkambi_018_V2,19521,1424,47435,3018,5754,33710,3272,30635,409,26672
Raw_Orkambi_019_V2,86842,5885,78747,7330,5737,83103,7755,38544,807,39607
Raw_Orkambi_020_V2,46557,3475,73825,7588,2545,62981,12973,28149,758,131838
Raw_Orkambi_021_V2,131898,3541,85407,13183,9314,81252,16541,82418,1760,149217
Raw_Orkambi_022_V2,168816,7956,82244,57492,13732,241773,23103,133628,2113,239126
Raw_Orkambi_024_V2,36059,1014,41479,2719,1876,24646,4117,24607,344,35772
Raw_Orkambi_025_V2,177280,3417,102912,12188,7943,137035,17765,58742,1389,185186
Raw_Orkambi_026_V2,62298,2652,54911,7365,3003,57717,7957,39676,591,73587
